Cust_id           Company_Name                                      Address1                                                                Address2                                                                City                          St     Code
93677             The Cracker Box                                   55 Grizzly Peak Rd.                                                     Suite 203                                                               Butte                         MT59801     
103677            Supremes delices                                  Boulevard Tirou, 255                                                    PO Box No 202                                                           Charleroi                                 
113671            Magazzini Alimentari Riuniti                      Via Ludovico il Moro 22                                                                                                                         Bergamo                         24100     
113677            The Big Cheese                                    89 Jefferson Way                                                                                                                                                                          
121077            Wellington Importadora                            Rua do Mercado, 12                                                                                                                              Resende                       SP          
121177            White Clover Markets                              305 - 14th Ave. S.                                                                                                                                                                        
121277            Wilman Kala                                       Keskuskatu 45                                                                                                                                   Helsinki                        21240     
122101            Kauai Dive Shoppe                                 4-976 Sugarloaf Hwy                                                     Suite 202                                                               Kapaa Kauai                   HI94766     
122377            Tradicao Hipermercados                            Av. Ines de Castro, 414                                                                                                                         São Paulo                     SP          
123077            Great Lakes Food Market                           2732 Baker Blvd.                                                                                                                                Eugene                        OR97403     
123102            Unisco                                            PO Box Z-547                                                                                                                                    Santa Cruz                    CA94766     
123177            Folk och fa HB                                    Åkergatan 24                                                                                                                                    Bräcke                                    
123277            Folies gourmandes                                 184, chaussee de Tournai                                                                                                                        Lille                           59000     
123377            Godos Cocina Tipica                               C/ Romero, 33                                                                                                                                   Sevilla                         41101     
123456            Galeria del gastrónomo                            Rambla de Cataluna, 23                                                                                                                          Barcelona                       8022      
123477            Wolski  Zajazd                                    ul. Filtrowa 68                                                                                                                                 Warszawa                                  
123479            Furia Bacalhau e Frutos do Mar                    Jardim das rosas n. 32                                                                                                                          Lisboa                          1675      
123574            Trail's Head Gourmet Provisioners                 722 DaVinci Blvd.                                                                                                                               Kirkland                      WA98034     
123577            Chop-suey Chinese                                 Hauptstr. 29                                                                                                                                    Bern                            3012      
123579            GROSELLA-Restaurante                              5ª Ave. Los Palos Grandes                                                                                                                       Caracas                       DF1081      
123612            Vaffeljernet                                      Smagsloget 45                                                                                                                                   Århus                           8200      
123613            Laughing Bacchus Wine Cellars                     1900 Oak St.                                                                                                                                    Vancouver                     BC          
